,id,MS,MP,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,r,e (g/km),m (kg),w (mm),at1 (mm),at2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Er (g/km)
0,346261,LU,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0623*09,AU,AC4CRBCX0,FD6FD6D9004N7MJOMLVR2,VOLKSWAGEN,GOLF,M1,3,119.0,1376.0,2620.0,1527.0,1496.0,DIESEL,M,1968.0,110.0,,,
1,346262,LU,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0623*17,AU,GAC4CHHBX0,FD6FD6D9011S7MMON1ML71VR2,VOLKSWAGEN,GOLF,M1,3,145.0,1392.0,2626.0,1527.0,1496.0,PETROL,M,1984.0,162.0,,,
2,346263,LU,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0356*17,2EC2,KN4D1350N,MEC24VD9,VOLKSWAGEN,CRAFTER,M1,1,209.0,2356.0,3665.0,1710.0,1716.0,DIESEL,M,1968.0,120.0,,,
3,346264,LU,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0539*13,16,AECTHDX0,FD7FD7AM006N7MJVIVR0,VOLKSWAGEN,BEETLE,M1,1,148.0,1468.0,2538.0,1570.0,1548.0,PETROL,M,1390.0,118.0,,,
4,346265,LU,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2007/46*0539*14,16,ABCFFBX0,FD6FD62E018N7MJVIVR0,VOLKSWAGEN,BEETLE,M1,1,140.0,1411.0,2524.0,1570.0,1546.0,DIESEL,M,1968.0,103.0,,,
5,346266,LU,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0242*49,1K,AECFHCX0,FD6FD62E018E7MJVI,VOLKSWAGEN,GOLF,M1,1,134.0,1545.0,2577.0,1527.0,1500.0,DIESEL,M,1968.0,103.0,,,
6,346267,LU,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0242*49,1K,AECCZBX0,FD6FD62E016N7MJVI,VOLKSWAGEN,GOLF,M1,1,180.0,1555.0,2577.0,1527.0,1500.0,PETROL,M,1984.0,155.0,,,
7,346268,LU,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0307*40,3C,ACDFCAX0,FD6FD6D9002SH7MMVR261,VOLKSWAGEN,PASSAT,M1,3,119.0,1581.0,2786.0,1578.0,1562.0,DIESEL,M,1968.0,140.0,,,
8,346269,LU,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0220*35,7HC,KCAAC300X0,LNFM6500816NVR07MJG0S/26,VOLKSWAGEN,CARAVELLE,M1,1,198.0,2075.0,3400.0,1618.0,1618.0,DIESEL,M,1968.0,103.0,,,
9,346270,LU,VW GROUP PC,VOLKSWAGEN,VOLKSWAGEN AG,VOLKSWAGEN AG,E1*2001/116*0510*25,6R,ABCJZD,FD7FD7CW003N2VR27MM62,VOLKSWAGEN,POLO,M1,5,109.0,1163.0,2456.0,1441.0,1434.0,PETROL,M,1197.0,81.0,,,
