,Unnamed: 0,id,MS,Mh,Man,Va,Ve,Mk,Cn,Ct,r,e,m,Ft,Fm,ec (cm3),ep (KW),z (Wh/km),It,Er (g/km),ePerKG(e/m)
0,0,346261,LU,VOLKSWAGEN,VOLKSWAGEN AG,AC4CRBCX0,FD6FD6D9004N7MJOMLVR2,VOLKSWAGEN,GOLF,M1,3,119.0,1376.0,DIESEL,M,1968.0,110.0,,NAN,,0.08648255813953488
1,1,346262,LU,VOLKSWAGEN,VOLKSWAGEN AG,GAC4CHHBX0,FD6FD6D9011S7MMON1ML71VR2,VOLKSWAGEN,GOLF,M1,3,145.0,1392.0,PETROL,M,1984.0,162.0,,NAN,,0.10416666666666667
2,2,346263,LU,VOLKSWAGEN,VOLKSWAGEN AG,KN4D1350N,MEC24VD9,VOLKSWAGEN,CRAFTER,M1,1,209.0,2356.0,DIESEL,M,1968.0,120.0,,NAN,,0.08870967741935484
3,3,346264,LU,VOLKSWAGEN,VOLKSWAGEN AG,AECTHDX0,FD7FD7AM006N7MJVIVR0,VOLKSWAGEN,BEETLE,M1,1,148.0,1468.0,PETROL,M,1390.0,118.0,,NAN,,0.1008174386920981
4,4,346265,LU,VOLKSWAGEN,VOLKSWAGEN AG,ABCFFBX0,FD6FD62E018N7MJVIVR0,VOLKSWAGEN,BEETLE,M1,1,140.0,1411.0,DIESEL,M,1968.0,103.0,,NAN,,0.09922041105598867
5,5,346266,LU,VOLKSWAGEN,VOLKSWAGEN AG,AECFHCX0,FD6FD62E018E7MJVI,VOLKSWAGEN,GOLF,M1,1,134.0,1545.0,DIESEL,M,1968.0,103.0,,NAN,,0.08673139158576051
6,6,346267,LU,VOLKSWAGEN,VOLKSWAGEN AG,AECCZBX0,FD6FD62E016N7MJVI,VOLKSWAGEN,GOLF,M1,1,180.0,1555.0,PETROL,M,1984.0,155.0,,NAN,,0.1157556270096463
7,7,346268,LU,VOLKSWAGEN,VOLKSWAGEN AG,ACDFCAX0,FD6FD6D9002SH7MMVR261,VOLKSWAGEN,PASSAT,M1,3,119.0,1581.0,DIESEL,M,1968.0,140.0,,NAN,,0.07526881720430108
8,8,346269,LU,VOLKSWAGEN,VOLKSWAGEN AG,KCAAC300X0,LNFM6500816NVR07MJG0S/26,VOLKSWAGEN,CARAVELLE,M1,1,198.0,2075.0,DIESEL,M,1968.0,103.0,,NAN,,0.09542168674698795
9,9,346270,LU,VOLKSWAGEN,VOLKSWAGEN AG,ABCJZD,FD7FD7CW003N2VR27MM62,VOLKSWAGEN,POLO,M1,5,109.0,1163.0,PETROL,M,1197.0,81.0,,NAN,,0.0937231298366294
10,10,346271,LU,VOLKSWAGEN,VOLKSWAGEN AG,VACCUNAX1,AD6AD6D9003C7MMMN1ML69VR2,VOLKSWAGEN,GOLF,M1,1,129.0,1584.0,DIESEL,M,1968.0,135.0,,NAN,,0.08143939393939394
11,11,346272,LU,VOLKSWAGEN,VOLKSWAGEN AG,GAC4CXXBX0,FD7FD7CW002N7MMON1VL63VR2,VOLKSWAGEN,GOLF,M1,2,104.0,1339.0,DIESEL,M,1598.0,81.0,,NAN,,0.07766990291262135
12,12,346273,LU,VOLKSWAGEN,VOLKSWAGEN AG,GAC2CYVBX0,FM6FM6AJ009N7MMON1VL61VR2,VOLKSWAGEN,GOLF,M1,1,114.0,1210.0,PETROL,M,1197.0,81.0,,NAN,,0.09421487603305785
13,13,346274,LU,VOLKSWAGEN,VOLKSWAGEN AG,CFGCX0AF,FD6FD62E0297MJ6VR2VWO,VOLKSWAGEN,SHARAN,M1,1,154.0,1856.0,DIESEL,M,1968.0,130.0,,NAN,,0.08297413793103449
14,14,346275,LU,VOLKSWAGEN,VOLKSWAGEN AG,ACDFCAX1,AD6AD6D9003SH7MMVR262,VOLKSWAGEN,PASSAT,M1,4,135.0,1674.0,DIESEL,M,1968.0,140.0,,NAN,,0.08064516129032258
15,15,346276,LU,VOLKSWAGEN,VOLKSWAGEN AG,ACCHA300X0,NNFD7BT0116NVR07MJG0S,VOLKSWAGEN,MULTIVAN,M1,1,211.0,2075.0,DIESEL,M,1968.0,103.0,,NAN,,0.10168674698795181
16,16,346277,LU,VOLKSWAGEN,VOLKSWAGEN AG,CFHCAF,FD6FD62E0187MJS7N1VR2SO,VOLKSWAGEN,TOURAN,M1,1,135.0,1649.0,DIESEL,M,1968.0,103.0,,NAN,,0.0818677986658581
17,17,346278,LU,VOLKSWAGEN,VOLKSWAGEN AG,SACCZCAX0,FD7FD7CW001N7MMON1ML02VR2,VOLKSWAGEN,GOLF SPORTSVAN,M1,3,126.0,1383.0,PETROL,M,1395.0,92.0,,NAN,,0.0911062906724512
18,18,346279,LU,VOLKSWAGEN,VOLKSWAGEN AG,GAC4CXXBX0,FM5FM5A4051N7MMON1VL65VR2,VOLKSWAGEN,GOLF,M1,6,101.0,1321.0,DIESEL,M,1598.0,81.0,,NAN,,0.07645722937168811
19,19,346280,LU,VOLKSWAGEN,VOLKSWAGEN AG,ABCJZC,FD7FD7CW003N2VR27MM61,VOLKSWAGEN,POLO,M1,28,109.0,1139.0,PETROL,M,1197.0,66.0,,NAN,,0.09569798068481124
20,20,346281,LU,VOLKSWAGEN,VOLKSWAGEN AG,ACCXDAX0,FD6FD6D9011SV7MMVR266,VOLKSWAGEN,PASSAT,M1,1,145.0,1550.0,PETROL,M,1984.0,162.0,,NAN,,0.0935483870967742
21,21,346282,LU,VOLKSWAGEN,VOLKSWAGEN AG,ABCJZC,FM5FM52T106N2VR27MM00,VOLKSWAGEN,POLO,M1,3,107.0,1107.0,PETROL,M,1197.0,66.0,,NAN,,0.0966576332429991
22,22,346283,LU,VOLKSWAGEN,VOLKSWAGEN AG,GAC2CHHAX0,FM6FM62Q037S7MMON1ML72VR2,VOLKSWAGEN,GOLF,M1,2,139.0,1382.0,PETROL,M,1984.0,169.0,,NAN,,0.10057887120115774
23,23,346284,LU,VOLKSWAGEN,VOLKSWAGEN AG,CUVCX0AF,FD6FD62E0317MM7VR2VW62,VOLKSWAGEN,SHARAN,M1,6,137.0,1843.0,DIESEL,M,1968.0,110.0,,NAN,,0.07433532284319046
