id,COUNTRYNAME,POPULATION
BE,Belgium,11259000
LT,Lithuania,2906000
PT,Portugal,10311000
BG,Bulgaria,7185000
ES,Spain,46423064
LU,Luxembourg,570000
RO,Romania,19822000
CZ,Czech Republic,10535000
FR,France,66484000
HU,Hungary,9835000
SI,Slovenia,2065000
DK,Denmark,5673000
HR,Croatia,4230000
MT,Malta,425000
SK,Slovakia,5426000
DE,Germany,81459000
IT,Italy,60963000
NL,Netherlands,17003777
FI,Finland,5475000
EE,Estonia,1315000
CY,Cyprus,876000
AT,Austria,8608000
SE,Sweden,9858794
IE,Ireland,4630000
LV,Latvia,1979000
PL,Poland,38494000
